code;syll_lang_swe;syll_lang_eng;content;goals_swe;goals_eng;eligibility;literature;exam_comments;req_for_grade;valid_from;equipment;instruction_lang;cycle;credits;title_swe;title_eng;grade_scale;department;examiner;n_exam_modules;n_course_subjects;ethics_keywords;n_rows;n_ilos;n_higher_grade_ilos;n_purpose_ilos;bloom_knowledge;bloom_comprehension;bloom_application;bloom_analysis;bloom_evaluation;bloom_synthesis;total_highest_bloom
SE2123;swedish;english;1;1;1;1;0;0;1;0;0;Engelska;2;6.0;1;1;AF;SCI/Hållfasthetslära;(Per-Lennart Larsson);3;0;0;5;4;0;0;0;1;1;0;1;0;4
SE2126;swedish;english;1;1;1;1;0;0;1;0;0;Engelska;2;9.0;1;1;AF;SCI/Hållfasthetslära;(Per-Lennart Larsson);3;0;0;7;6;0;0;0;0;3;0;2;0;4
SE2132;swedish;english;1;1;1;1;0;0;1;0;0;Engelska;2;9.0;1;1;AF;SCI/Hållfasthetslära;(Christian Gasser);3;0;0;8;6;0;0;0;1;2;2;0;1;5
SE2134;swedish;english;1;1;1;1;0;1;1;0;0;Engelska;2;7.5;1;1;AF;SCI/Hållfasthetslära;(Mårten Olsson);3;1;0;11;10;0;0;0;0;6;0;1;3;5
SE2137;swedish;english;1;1;1;1;0;1;1;0;0;Engelska;2;6.0;1;1;AF;SCI/Hållfasthetslära;(Mårten Olsson);2;0;0;7;5;0;0;1;0;2;1;0;0;3
SE2139;swedish;english;1;1;1;1;0;0;1;0;0;Engelska;2;6.0;1;1;AF;SCI/Hållfasthetslära;(Jonas Faleskog);2;0;0;10;7;0;0;0;2;1;2;1;1;5
SE2145;swedish;english;1;1;1;1;0;1;1;0;0;Engelska;2;9.0;1;1;AF;SCI/Hållfasthetslära;(Mårten Olsson);2;0;0;11;10;0;0;1;1;4;2;1;1;5
SE2152;swedish;english;1;1;1;1;0;1;1;0;0;Engelska;2;8.0;1;1;AF;SCI/Hållfasthetslära;(Artem Kulachenko);3;0;0;7;6;0;0;0;1;1;1;2;0;4
SE2860;swedish;english;1;1;1;1;0;0;1;0;0;Engelska;2;8.0;1;1;AF;SCI/Hållfasthetslära;(Jonas Faleskog);2;1;0;8;7;0;0;0;0;2;2;1;2;5
SE2870;swedish;english;1;1;1;1;0;1;1;0;0;Engelska;2;7.0;1;1;AF;SCI/Hållfasthetslära;(Christian Gasser);2;0;0;7;6;0;0;0;1;3;1;0;1;5
SF0003;swedish;english;1;1;1;1;0;0;0;0;0;Svenska;0;1.5;1;1;PF;SCI/Matematik;(Tommy Ekola);1;0;0;3;2;0;0;0;0;1;0;0;0;2
SF100X;swedish;NO_ENG_TEXT;1;1;0;1;0;0;1;0;0;Svenska;1;15.0;1;1;PF;SCI/Matematik;(Celia Garcia Pareja,Jan Kronqvist);1;1;1;7;7;0;0;0;1;2;0;1;2;5
SF1512;swedish;english;1;1;1;1;0;0;0;0;0;Svenska;1;6.0;1;1;AF;SCI/Matematik;(Anna Nissen);3;0;0;5;4;0;0;1;0;0;0;1;2;5
